IBM
Call: ibm -r -g 4213 
Seed: 123
Date: Fri Nov 02 10:17:32 2018
Version: 2018-11-01 09:04:42 UTC (rev. aebc669)
Environment: machine:DESKTOP-D3MBM6L, user:Dell User, os:Windows_NT, pid:8288

*initialisation_partition[init_1]
ewuilibrium_shortcut: 1969
values {d}
row-col 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
10-3 1585 1400 1209 988 899 714 665 563 513 402 336 317 263 219 196 191 149 127 133 84 640
10-4 691 599 551 504 405 293 263 278 250 176 148 111 107 99 96 90 70 48 38 44 275
10-5 570 452 397 348 305 267 196 178 200 145 126 105 77 73 70 59 45 27 40 36 235
10-6 178 137 112 105 75 86 57 66 49 35 33 30 36 31 23 25 14 15 15 9 63
10-7 107 104 78 80 58 56 45 36 39 28 23 25 19 12 9 9 10 9 10 7 40
10-8 89 84 58 56 43 30 39 26 27 15 11 15 15 17 8 18 9 7 7 4 25
10-9 58 48 41 40 30 30 22 21 14 19 17 17 6 6 6 8 4 5 7 1 27
10-10 48 36 42 21 17 21 20 14 8 12 9 8 6 8 8 5 4 5 4 2 19
*end

*summarise_agents[Summer_agents]
year: 1990
time_step: Summer
values {d}
row-col agent_ndx age age_index length length_index weight scalar sex mature M L_inf k a b tag alive lat long
4-2 6734 11 11 82.6657 16 0.00166497 368.098 0 1 0.149997 101.797 0.160996 4.79e-009 2.89 0 1 2.34959 18.1549
3-5 88 1 1 14.3649 2 1.0591e-005 368.098 0 0 0.149989 101.79 0.161012 4.79e-009 2.89 0 1 2.22656 18.45
8-1 7408 2 2 26.6893 5 6.34527e-005 368.098 0 0 0.149982 101.795 0.160993 4.79e-009 2.89 0 1 2.75548 18.05
2-1 1799 6 6 60.9066 12 0.000688678 368.098 0 1 0.150002 101.811 0.160996 4.79e-009 2.89 0 1 2.15271 18.0659
2-3 6736 2 2 26.6927 5 6.34761e-005 368.098 0 0 0.150018 101.808 0.160994 4.79e-009 2.89 0 1 2.13529 18.2218
2-3 6530 20 20 96.9287 16 0.00263744 368.098 0 1 0.150001 101.799 0.161032 4.79e-009 2.89 0 1 2.13906 18.2491
8-3 1661 3 3 37.2853 7 0.000166755 368.098 0 1 0.150015 101.813 0.161003 4.79e-009 2.89 0 1 2.78782 18.2918
10-3 5185 2 2 26.6923 5 6.34732e-005 368.098 0 1 0.150041 101.797 0.161013 4.79e-009 2.89 0 1 2.96293 18.2048
5-1 8848 1 1 14.3663 2 1.05942e-005 368.098 0 1 0.15001 101.802 0.161009 4.79e-009 2.89 0 1 2.46868 18.0537
5-3 3683 5 5 54.1829 10 0.000491131 368.098 0 1 0.150001 101.789 0.160999 4.79e-009 2.89 0 1 2.41833 18.21
1-2 907 4 4 46.3705 9 0.000313165 368.098 0 0 0.150021 101.791 0.160995 4.79e-009 2.89 0 1 2.05 18.1188
3-4 2858 3 3 37.2896 7 0.000166811 368.098 0 0 0.150006 101.823 0.161007 4.79e-009 2.89 0 1 2.20317 18.3347
6-3 2767 5 5 54.1895 10 0.000491303 368.098 0 0 0.150029 101.815 0.160965 4.79e-009 2.89 0 1 2.52816 18.2455
3-5 1490 5 5 54.1874 10 0.000491248 368.098 0 1 0.149996 101.796 0.161003 4.79e-009 2.89 0 1 2.21092 18.4589
4-2 8944 3 3 37.2814 7 0.000166705 368.098 0 0 0.150013 101.804 0.160999 4.79e-009 2.89 0 1 2.30424 18.1703
4-2 4990 3 3 37.2817 7 0.000166708 368.098 0 1 0.149998 101.8 0.16101 4.79e-009 2.89 0 1 2.33452 18.1999
7-2 1968 10 10 79.5293 15 0.00148888 368.098 0 1 0.149992 101.801 0.160995 4.79e-009 2.89 0 1 2.67896 18.1379
7-3 4198 11 11 82.6695 16 0.00166519 368.098 0 1 0.149986 101.8 0.161005 4.79e-009 2.89 0 1 2.68711 18.2932
1-3 6414 19 19 96.1312 16 0.00257522 368.098 0 1 0.149983 101.805 0.160989 4.79e-009 2.89 0 1 2.05 18.25
7-2 223 10 10 79.54 15 0.00148946 368.098 0 1 0.15003 101.815 0.160996 4.79e-009 2.89 0 1 2.60549 18.1384
2-4 1602 9 9 75.884 15 0.00130008 368.098 0 1 0.150003 101.804 0.161033 4.79e-009 2.89 0 1 2.10566 18.3757
6-2 1957 20 20 100.038 16 0.00288945 368.098 0 1 0.150009 101.797 0.160984 4.79e-009 2.89 0 1 2.54569 18.1167
6-3 2712 2 2 26.6878 5 6.34424e-005 368.098 0 1 0.15 101.785 0.161003 4.79e-009 2.89 0 1 2.58198 18.2265
1-2 13128 8 8 71.6197 14 0.00109997 368.098 0 1 0.150013 101.789 0.161036 4.79e-009 2.89 0 1 2.05373 18.1169
6-2 3567 1 1 14.3694 2 1.06006e-005 368.098 0 0 0.150008 101.824 0.161008 4.79e-009 2.89 0 1 2.57112 18.1867
1-2 6082 6 6 60.9012 12 0.000688501 368.098 0 0 0.149977 101.799 0.161002 4.79e-009 2.89 0 1 2.0954 18.15
10-3 3082 1 1 14.3656 2 1.05926e-005 368.098 0 0 0.150003 101.8 0.161003 4.79e-009 2.89 0 1 2.94179 18.2491
